PredictionID,Teaser,Prediction,Feedback questions
1,Professional life,Everything seems to fall into their proper place today and all your endeavour will meet with success. ,Did you have a successful day?
2,Professional life,Try to guard against the tendency to take risks without checking out the opportunities in depth.,Did you guard well against all your risks today?
3,Personal life,A sudden unexpected encounter may catch you off guard today.,Did you have a good day?
4,Personal life,Get some much needed pampering and rest if you want to continue to be productive.,Did you have a pampered day?
5,Personal life,Driving yourself too hard too fast can end up being harmful to your physical health.,Did you have a tiring day?
6,Personal life,"Give yourself a break. You've done everything possible, and you can't do any more. Now take a deep breath, and do something nice for yourself.",Did you have a relaxing day?
7,Social life,Enjoy your social life now and get in touch with old friends or family members from whom you have not heard for a long time. ,Did you meet some old friend today?
8,Love life,Romantic opportunities are all around you today.,Did you have a romantic day?
9,Personal life,Unexpected monetary gains are on the cards for you today.,Did you earn some unexpected money today?
10,Professional life,"This is not the best time to schedule any activity that calls for tact, diplomacy, or caution, as you are inclined to be extremely straightforward, direct, and to the point in all of your interactions.",Did you have a tough day?
11,Professional life,You have been impulsive in decision making for quite some time. But today you will realize the importance of planning and a meticulous approach.,Did you have a good day?
12,Professional life,"It is never too late to start planning. With planning, you will also see yourself carrying proper execution of plans.",Did you plan and execute your day well today?
13,Love life,You have been keeping things to yourself. It’s time that you open up to your partner. ,
14,Professional life,The day is going to be demanding and you have to follow a strict regulation and out in lot of hard work.,
15,Professional life,"Be careful, you are likely to take on responsibilities on behalf of a colleague as well.",Did you have a tiring day?
16,Personal life,You will want to follow up on mysterious matter today and you are likely to watch a mystery film or read a mystery novel.,Did you watch or read something interesting today?
17,Personal life,The day is perfect to indulge in some special time for yourself. ,Did you get some time for yourself today?
18,Health,You are likely to get some good news regarding your health and fitness.,Are you feeling healthy today?
19,Personal life,The goddess of solar system and the planets which bring a sense of nurturing are shining in your sign today.,Did you have a successful day?
20,Love life,Give your love a comforting feel. Make your love feel important.,
21,Professional life,This is the time when your persistence and hard work will pay off.,
22,Professional life,You will be noticed by your superiors and will be offered better scope.,Did you get some good oportunities today?
23,Professional life,Your career is poised to take off right now. Be sure to utilize this opportunity to its fullest extent.,Did you get some good oportunities today?
24,Personal life,There is so much action around you that is eating your attention and time. Do not waste your time in trivial matters.,Could you utilize your time well today?
25,Personal life,Do not shy away. Look carefully and act before it’s too late. The key to success for you is to prioritize.,
26,Personal life,Relaxation is on your cards today.,Did you have a relaxing day?
27,Personal life,Second half of the day may be hectic with guests pouring in or you visiting people.,Did you meet a lot of people today?
28,Love life,The planets line up today to make you feel very romantic and emotional.,Did you have a romantic day?
29,Love life,"If you want to preserve your romantic partnership, you must act on it today.",Did you have a romantic day?
30,Personal life,You are your best critic. Analyze your situation and act accordingly.,Did you have a good day?
31,Personal life,Today you need to motivate yourself to remain on track.,Did you have a productive day?
32,Professional life,Today you may be entrusted with bigger responsibilities. Be prepared.,Did you have a responsible day?
33,Financial matters,"You have time at your side. Plan investing, do research work and go for it.",Did you invest well today?
34,Personal life,You may be taken by surprise today that the person you have been confiding into has spread bad words about you.,Did you have a good day?
35,Social life,You may find a true friend near you. It can be your spouse or your parents.,Did you have a good day?
36,Professional life,Today you are upbeat physically and psychologically. Boost in your morale will reflect in your work. ,Did you have a good day at work?
37,Love life,This is the time to enjoy light side of relationships.,Did you have a romantic day?
38,Love life,"You have always been of a serious nature, but you are now over-thinking your relationships.",Did you have a romantic day?
39,Personal life,"Stop looking for hidden meanings and deeper implications in everything. Instead, go out for light-hearted banter and just enjoy a good time.",Did you have a good day?
40,Love life,Do not let pressure of responsibilities and expectations take all the fun out of your relationships.,Did you have a romantic day?
41,Social life,This is a great time to make conversations with people of great influence.,Did you have a fruitful day?
42,Professional life,Establish as many connections as you can if you want to reach to a better place or upgrade your current position.,Did you have a fruitful day?
43,Financial matters,You do not seem hopeful of striving the best opportunities to multiply your wealth. But be hopeful and keep striving for the same cause you can make it!,Did you have a fruitful day?
44,Personal life,"Today, you need to realize that being a prisoner of the past is not going to help you in any way. ",Did you have a good day?
45,Personal life,Today you can take a giant step towards solving the major problems that you have been facing in your life.,Did you have a challenging day today?
46,Health,Stomach ailments have a high chance of occurring today. You have to take special precaution against drinking water and other fluids because the chances of a waterborne disease are high.,Did you have a healthy day today?
47,Love life,It is imperative that you keep your egos aside if you want to cultivate a very promising relationship.,Did you have a romantic day?
48,Personal life,Try to look at the matter in hand from a viewpoint that is different from your own.,Did you have a fruitful day?
49,Social life,Your networking with people of similar interest and doing a similar business will increase today.,Did you have a productive day?
50,Professional life,You must avail this opportunity to mentor and encourage others so that you have their support in return as well.,Did you have a productive day?
51,Personal life,You are not going to tolerate distractions today.,Did you have a very focused day?
52,Personal life,You are going to discover the joys of alternative treatments today.,Did you have a joyful day?
53,Personal life,"Today, you will come across a remedy that can actually bring you the relief that you are looking for.",Did you have a good day?
54,Love life,The connection with your soul mate seems to be fading away due to work pressures. But you can struggle well to maintain meaningful relations. ,Did you have a romantic day?
55,Personal life,You are in a mood of speculation today; still your ability to stay focused will be quite strong.,Did you have a fruitful day?
56,Professional life,You must stick to your office desk or work station at home in order to finish maximum work in minimum time.,Did you have a very tiring day?
57,Personal life,"If you are single, schedule some relaxing activities by yourself. The day is not favourable for communication as there are chances of being misunderstood.",Did you get some time for yourself today?
58,Personal life,Everything has been falling beautifully into place in the last few days in all work related issues and this is likely to create overconfidence in you.,Did you have a good day?
59,Personal life,"Today, it is vital that you take a step back and evaluate what is actually necessary for you and what you can achieve with your own capability. Take care that you do not bite off more than you can chew.",Did you have a tiring day?
60,Professional life,You are likely to come across a big idea today and you must not reject it out of hand because it seems too improbable. ,Did you have a fruitful day?
61,Professional life,This is the day to think big and to reach high.,Did you have a fruitful day?
62,Professional life,You should study the obstacles to your plan well and soon you will find that the obstacle itself will suggest how you can get rid of it.,Did you have a fruitful day?
63,Professional life,If you are working on a health related project or are planning something new then you can achieve results far more easily and successfully than you have ever imagined.,Did you have a fruitful day?
64,Love life,This is a puzzling day for you as far as relationships are concerned.,Did you have a good day?
65,Personal life,"Trying to hurry things along today is not going to be of any help. Rather, take it slow and the situation will resolve itself.",Did you have a very busy day?
66,Personal life,"Self reflection is the key today. You may feel an unrest which you cannot express or a discontent, even though everything works out all right for you.",Did you have a good day?
67,Personal life,In order to maintain a better focus try to write down the tasks you have performed each day while you are awake.,Did you have a fruitful day?
68,Personal life,You are demoralized due to certain happenings which are constantly disturbing you and you just cannot concentrate on your work.,Did you have a distracted day?
69,Health,"If you initiate a healthy regimen today, it has a greater chance of success.",Did you have a healthy day today?
70,Professional life,"If you are in a business, you may find your employees taking an extra step for you.",Did you have a fruitful day?
71,Professional life,"Well, today is a lucky day for you. You take yourself and others by surprise by your problem solving abilities.",Were you able to solve a lot of problems today?
72,Professional life,Today you will leave your office mates impressed.,Did you have an impressive day?
73,Professional life,Your confidence will be high and you may be offered a new project.,Did you have a fruitful day?
74,Social life,Feel happy and celebrate with loved ones. A friend may visit you today. You may enjoy a fun filled day.,Did you meet a friend today?
75,Health,Today you have to pull yourself out of the bed and go for some fitness regime.,Did you have a healthy day today?
76,Love life,It is useless to drag a relationship for the sheer reason that you are in the relationship for a long time.,Did you have a tough day?
77,Love life,Make up your mind today. You may move out of your relationship if you make yourself strong enough.,Did you have a rough day?
78,Professional life,Work pressure will be mounting and they may actually take you away from the activities which you enjoy.,Did you have a tiring day?
79,Financial matters,You will be saving on some unnecessary expenses today.,Did you have make some savings today?
80,Professional life,Barriers that seemed unmovable a few days ago will be carried away in the face of your determination.,Did you have a challenging day today?
81,Personal life,Your communication skills will undergo a sea change and you will easily be able to convince other people and bring them around to your viewpoint.,Did you have a fruitful day?
82,Professional life,The day is perfect to tackle any difficult project that you had been putting off.,Did you have a successful day?
83,Health,You may have to undergo a health check up due to some reasons and this is likely to alert you to the possible danger. ,Did you have a frightening day?
84,Love life,"It seems like you have come across someone mesmerizing and they appear to be far better than your current partners! Well it is just an illusion, you have the best and you must take care of it! ",Did you have a romantically confusing day?
85,Professional life,You may find something very much to your liking and this has the potential of becoming your primary job in the next few years.,Did you have a fruitful day?
86,Personal life,Today you are more emotional than usual thereby risking your vulnerable self to others.,Did you have an emotional day?
87,Professional life,"At work, you will absorb pressure which will tire you by day end. ",
88,Love life,Today you may enjoy delicious meal with someone special.,Did you have a romantic day?
89,Health,"You need to take special care of your eyes, especially if your job requires heavy strain of the eyes.",Did you have a stressful day?
90,Professional life,"Though you are well established in your field, you may feel restless in your work. ",Did you have a restless day?
91,Professional life,"People may approach you for help and this is good, being busy will make you forget all your worries.",Did you have a busy day?
92,Health,Injuries are a strong possibility today. You have to be extra cautious to avoid falls and accidents.,Did you have a painful day?
93,Professional life,Be meticulous in completing your paperwork and dealing with all the official requirements. You may commit a small but crucial mistake due to inattention.,Did you have a good day at work?
94,Professional life,Everything seems to fall into their proper place today and all your endeavour will meet with success. ,Did you have a successful day?
95,Professional life,Try to guard against the tendency to take risks without checking out the opportunities in depth.,Did you have a risky day?
96,Health,Avoid walking in places having lots of trees as insect bite is indicated. It may leave rashes on your skin.,Did you have a healthy day today?
97,Professional life,Students may find a new career option through a friend or a guide. You might end up choosing this as your career.,Did you have a fruitful day?
98,Professional life,Professionals may experience a surge of energy today. It is a good day for head starting any project.,Did you have an energetic day?
99,Personal life,Honesty is the watchword of the day. The day is perfect to focus on details of your work or on meticulous tasks which you may have been avoiding lately. ,Did you manage to live your day honestly today?
100,Social life,Expect a sense of goodness from the people who are nearest to you.,"Were people around you, good to you?"
101,Personal life,"Your mind is very alert and active too! However be careful in day to day activities, you may face unexpected accidents but they will be minor in nature.  ",Did you have a healthy day today?
102,Personal life,You may win a competition today or may perform better than you used to earlier.,Did you have a fruitful day?
103,Professional life,Be proactive and apply today. You may receive an interview call.,Did you have a successful day?
104,Professional life,"With your confidence and subject knowledge, cracking an interview has never been a problem for you. So, take the first step today and apply.",Did you have a successful day?
105,Financial matters,Be careful about your wallet while travelling in a public transport.,Did you manage to do some savings today?
106,Personal life,Opportunities come your way easily but do not be in a haste to grab them all.,Did you have a successful day?
107,Personal life,Do not leave everything on destiny. Your actions will determine your destiny.,Were you lucky today?
108,Professional life,Work pressure at your work place might cause you to feel stressed today.,Did you have a tough day?
109,Love life,Give your love a chance to win an argument today.,Did you have a loving day?
110,Love life,Help your love by taking a few extra steps and your partner will appreciate your subtle moves.,Did you have a romantic day?
111,Professional life,An atmosphere of camaraderie and universal cheer prevails in your workplace today and you will really enjoy doing even the most mundane tasks that you generally hate.,Did you have a fruitful day?
112,Professional life,You should finish all your pending jobs today as it is a favourable time to complete these projects today.,Did you have a successful day?
113,Professional life,You have devoted considerable time and effort to a project and it will start to pay off now.,Did you have a fruitful day?
114,Health,Minor respiratory ailments are seen on the cards. Avoid going into places where there will be allergens present.,Did you have a healthy day today?
115,Love life,You may have to argue with your partner to stop them for their own good.,Did you have a romantic day?
116,Financial matters,Balance is your major theme today and you try to achieve a balance between your income and expenses.,Did you manage to do some savings today?
117,Financial matters,You may start looking for a second job to supplement your income and you are likely to stumble upon a very good opportunity today. ,Did you manage to find some extra opportunities for yourself today?
118,Personal life,"There are a few surprises in store for you today, but do not worry. They are all pleasant! ",Did you have a pleasant day?
119,Personal life,Some of the things for which you have been waiting for a long time are likely to come to fruition today. Some of your efforts which you thought have been wasted will finally be successful.,Did you have a fruitful day?
120,Love life,It is going to be a great day for you today! You may get a chance to speak your heart out today.,Did you have a romantic day?
121,Professional life,Change in the place of residence because of work related reasons is a major possibility today.,Did you undergo any major change in your lifestyle today?
122,Professional life,"You may also seek career related advice today either from a professional consultant or someone close to you. If you pay sufficient heed to this advice, you will be greatly benefitted.",Did you have a successful day?
123,Personal life,A talent which you have always treated as a hobby may become something more and you may find yourself making a living doing what you love.,Did you have a good day?
124,Personal life,New developments are expected in every front which would broaden your ideas and may completely change the character of your life. ,Did you have a fruitful day?
125,Health,Minor ailments are there in the atmosphere which might affect your health slightly.,Did you have a healthy day today?
126,Health,Be careful while lighting matchbox.,Did you manage to save yourself from any major hazard?
127,Love life,Your love has been a great source of inspiration and strength to you when you have been in tough times. ,Did you have a romantic day?
128,Professional life,"Though work has been piling up, you will probably indulge in unproductive activities.",Did you have a distracted day?
129,Social life,Celebrate tonight with family and friends and even they may have good news to share.,Did you have manage to spend some time with your friends today?
130,Personal life,You may feel out of control today as your temper will shoot up cause of the misbehavior of someone who is typically interfering.,Did you have a restless day?
131,Professional life,This is a good time to support you with activities and achievements and will empower you with a sense of accomplishment that you are first on the track!,Are you feeling healthy today?
132,Love life,A sense of intimacy and oneness is apparent in your relationship today which will make it not only convenient but also inevitable to take joint decisions. ,Did you have a romantically successful day?
133,Personal life,"Today you'll find that your head and heart are aligned on significant issues, and that they're working well together.",Did you have a good day today?
134,Personal life,Let your dreams linger a bit before you face the world.,Did you have a fruitful day?
135,Personal life,Review your day as you watch the sunset and observe the clouds turning from white to purple,Did you get some time for yourself today?
136,Personal life,Surprise people with an upbeat attitude and a solution for every problem that comes your way.,Did you have a successful day?
137,Personal life,"Don't assume that opinions are fixed in stone. Things can change in an instant. Even if they seem one way at one point, more than likely they're going to manifest themselves completely differently later.",Did you have a tough day?
138,Personal life,"There can be an important conversation or news today that makes you quite hopeful about a family situation, or that serves to motivate you to push forward with domestic plans",Did you make some big plans today?
139,Love life,You can feel exceptionally romantic or simply confident and expressive today.,Did you have a romantic day?
140,Personal life,You might feel a little guarded today and could feel as if you've been misunderstood.,Did you have a tough day?
141,Social life,Friends can inspire you to think creatively or could help give you the courage to try something new.,Did some friend manage to inspire you today?
142,Personal life,Slowing down can often help you to make important adjustments. Look for a middle ground in any conflicts you might have with a significant other.,Did you have a good day today?
